Subject,Section,Year,State ,District ,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or more races,Econ Disadv
All Subjects,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2021,67%,63%,87%,80%,75%,94%,100%,93%,*,92%,72%
All Subjects,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2019,78%,78%,88%,81%,79%,95%,67%,88%,-,94%,72%
ELA/Reading,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2021,68%,66%,86%,77%,71%,95%,*,91%,*,85%,68%
ELA/Reading,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2019,75%,76%,84%,73%,71%,94%,*,85%,-,94%,62%
Mathematics,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2021,66%,59%,79%,58%,66%,87%,*,86%,-,91%,59%
Mathematics,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2019,82%,81%,80%,76%,76%,85%,*,*,-,91%,69%
Science,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2021,71%,66%,88%,86%,74%,95%,*,100%,-,100%,73%
Science,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2019,81%,80%,92%,88%,86%,97%,*,94%,-,96%,81%
Social Studies,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2021,73%,77%,96%,100%,91%,98%,-,91%,-,100%,90%
Social Studies,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2019,81%,80%,96%,92%,94%,98%,-,100%,-,95%,94%
All Subjects,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2021,41%,42%,71%,55%,54%,82%,88%,81%,*,81%,48%
All Subjects,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2019,50%,54%,72%,55%,56%,86%,50%,77%,-,79%,46%
ELA/Reading,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2021,45%,47%,75%,58%,56%,87%,*,86%,*,78%,51%
ELA/Reading,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2019,48%,53%,74%,58%,56%,89%,*,77%,-,83%,44%
Mathematics,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2021,37%,34%,53%,25%,34%,64%,*,86%,-,73%,28%
Mathematics,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2019,52%,54%,46%,24%,37%,61%,*,*,-,50%,31%
Science,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2021,44%,43%,68%,50%,53%,78%,*,71%,-,78%,50%
Science,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2019,54%,57%,73%,54%,58%,85%,*,81%,-,88%,48%
Social Studies,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2021,49%,58%,84%,79%,70%,92%,-,82%,-,95%,63%
Social Studies,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2019,55%,60%,83%,72%,71%,92%,-,82%,-,90%,65%
All Subjects,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2021,18%,20%,30%,12%,20%,36%,13%,31%,*,40%,12%
All Subjects,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2019,24%,27%,33%,14%,21%,44%,50%,41%,-,36%,14%
ELA/Reading,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2021,18%,22%,23%,4%,14%,29%,*,14%,*,34%,8%
ELA/Reading,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2019,21%,26%,23%,6%,12%,32%,*,27%,-,38%,6%
Mathematics,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2021,18%,16%,12%,8%,5%,15%,*,43%,-,27%,3%
Mathematics,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2019,26%,28%,21%,6%,18%,29%,*,*,-,14%,17%
Science,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2021,20%,19%,25%,7%,17%,29%,*,43%,-,39%,7%
Science,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2019,25%,28%,36%,13%,23%,48%,*,50%,-,35%,11%
Social Studies,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2021,29%,39%,60%,36%,44%,73%,-,45%,-,60%,34%
Social Studies,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2019,33%,38%,62%,36%,45%,77%,-,73%,-,57%,39%
All Subjects,STAAR Assessment Participation (All Grades Tested),2021,88%,62%,73%,57%,67%,79%,89%,74%,*,74%,61%
All Subjects,STAAR Assessment Participation (All Grades Tested),2019,99%,99%,95%,94%,95%,96%,78%,100%,*,93%,92%
ELA/Reading,STAAR Assessment Participation (All Grades Tested),,2021,89%,64%,66%,55%,59%,72%,80%,68%,*,71%
ELA/Reading,STAAR Assessment Participation (All Grades Tested),2019,99%,99%,96%,93%,96%,97%,67%,100%,*,96%,95%
Mathematics,STAAR Assessment Participation (All Grades Tested),2021,88%,64%,77%,52%,70%,85%,*,70%,-,65%,60%
Mathematics,STAAR Assessment Participation (All Grades Tested),2019,100%,99%,92%,89%,92%,92%,*,*,-,92%,88%
